               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  97,              0.0177,           0.0070568,           0.0029476,             0.88007,             0.91295,             0.91988,             0.79149,            0.015708,           0.0098324,           0.0043776,            0.006832,            0.006832,            0.006832
                  98,            0.017861,           0.0068499,           0.0028985,             0.87659,             0.96057,             0.93644,             0.82597,            0.014879,           0.0095654,           0.0039337,            0.006799,            0.006799,            0.006799
                  99,            0.017741,           0.0071555,           0.0029227,             0.88642,             0.93676,             0.91295,             0.76874,            0.016382,           0.0098629,           0.0035179,            0.006766,            0.006766,            0.006766
                 100,            0.017939,           0.0070516,           0.0029104,             0.88543,             0.96057,             0.92454,               0.807,            0.015141,            0.009449,           0.0031279,            0.006733,            0.006733,            0.006733
                 101,            0.017922,           0.0070243,            0.003025,             0.90669,             0.93676,             0.92885,             0.79987,            0.014791,            0.010029,           0.0033569,              0.0067,              0.0067,              0.0067
                 102,            0.017646,           0.0072171,           0.0030053,             0.90907,             0.92866,             0.91983,             0.80646,            0.015027,            0.010242,           0.0035873,            0.006667,            0.006667,            0.006667
                 103,            0.017509,           0.0070302,           0.0029601,             0.92011,             0.90571,             0.91772,              0.8033,            0.014994,           0.0099754,           0.0034679,            0.006634,            0.006634,            0.006634
                 104,            0.017534,           0.0069617,           0.0028321,             0.89877,             0.93676,              0.9288,             0.79786,            0.014747,           0.0096302,            0.002858,            0.006601,            0.006601,            0.006601
                 105,            0.017708,           0.0067954,           0.0028584,             0.91159,             0.93248,             0.93192,             0.80849,            0.015013,           0.0093708,           0.0031382,            0.006568,            0.006568,            0.006568
                 106,              0.0176,           0.0068466,           0.0029331,             0.88759,             0.96057,             0.92969,             0.80534,            0.014971,           0.0096626,           0.0035257,            0.006535,            0.006535,            0.006535
                 107,            0.017444,           0.0070044,            0.002935,             0.88132,             0.93676,             0.91421,             0.78567,            0.015327,            0.010029,           0.0034399,            0.006502,            0.006502,            0.006502
                 108,            0.017348,           0.0069783,           0.0028352,             0.91057,             0.93676,             0.93579,             0.82295,            0.014805,           0.0095959,           0.0036926,            0.006469,            0.006469,            0.006469
                 109,            0.017639,           0.0068909,           0.0029381,             0.89731,             0.91295,             0.90882,             0.78797,             0.01514,            0.009903,            0.003919,            0.006436,            0.006436,            0.006436
                 110,            0.017718,           0.0067945,           0.0028158,             0.88984,             0.91816,             0.92393,             0.79096,            0.015397,           0.0098419,           0.0041943,            0.006403,            0.006403,            0.006403
                 111,            0.017241,           0.0070936,           0.0027676,             0.90704,             0.91295,             0.91401,             0.78661,            0.015536,            0.010151,           0.0055088,             0.00637,             0.00637,             0.00637
                 112,            0.017333,           0.0066732,           0.0027683,              0.9093,             0.92918,             0.91643,             0.79392,            0.015036,           0.0099735,           0.0052647,            0.006337,            0.006337,            0.006337
                 113,            0.017596,           0.0069366,           0.0029359,             0.91234,              0.9346,             0.92507,             0.80853,            0.015019,           0.0096512,           0.0053097,            0.006304,            0.006304,            0.006304
                 114,            0.017381,           0.0069132,           0.0027505,             0.91063,             0.92822,             0.92136,             0.79584,            0.015364,            0.009882,           0.0051598,            0.006271,            0.006271,            0.006271
                 115,            0.017542,           0.0069771,           0.0029274,              0.8669,             0.93676,              0.9076,             0.77896,            0.016078,            0.010105,           0.0049355,            0.006238,            0.006238,            0.006238
                 116,             0.01753,           0.0068608,            0.002955,             0.87411,             0.94375,              0.9189,             0.78938,            0.014911,            0.009985,            0.004464,            0.006205,            0.006205,            0.006205
                 117,            0.016897,           0.0067333,           0.0027232,             0.87501,             0.95207,             0.92154,             0.80341,            0.014994,           0.0093651,           0.0045467,            0.006172,            0.006172,            0.006172
                 118,            0.017141,           0.0064548,           0.0028691,             0.88972,             0.93228,             0.91151,             0.79647,            0.015983,           0.0098133,            0.005703,            0.006139,            0.006139,            0.006139
                 119,            0.017279,           0.0069242,           0.0028601,             0.88595,             0.93676,             0.91039,             0.79205,            0.014979,           0.0098248,           0.0044758,            0.006106,            0.006106,            0.006106
                 120,            0.017111,           0.0067584,           0.0028786,             0.90601,             0.93676,             0.91746,             0.80167,            0.015569,           0.0099487,            0.006192,            0.006073,            0.006073,            0.006073
                 121,            0.016845,           0.0066055,           0.0028072,             0.88365,             0.93676,             0.91949,             0.79842,            0.014642,           0.0097218,           0.0043308,             0.00604,             0.00604,             0.00604
                 122,            0.017247,           0.0065646,           0.0028984,             0.87123,             0.92955,             0.90321,             0.76771,            0.015913,           0.0097179,           0.0052135,            0.006007,            0.006007,            0.006007
                 123,            0.017342,           0.0064667,           0.0029179,             0.88887,             0.93676,             0.91275,             0.78941,            0.015723,            0.010254,           0.0052792,            0.005974,            0.005974,            0.005974
                 124,            0.016807,           0.0069265,            0.002682,             0.91109,             0.92769,             0.91021,             0.79569,            0.015608,           0.0096359,           0.0046108,            0.005941,            0.005941,            0.005941
                 125,            0.017082,           0.0066612,           0.0029233,             0.91102,             0.92882,             0.92748,             0.80463,            0.015789,            0.009758,            0.004422,            0.005908,            0.005908,            0.005908
                 126,            0.016656,            0.006351,           0.0028954,             0.87196,             0.91982,             0.92001,             0.79321,            0.015078,           0.0095978,            0.004265,            0.005875,            0.005875,            0.005875
                 127,             0.01684,            0.006563,           0.0028366,             0.90719,             0.93676,             0.92355,             0.81827,            0.014873,           0.0093441,            0.004528,            0.005842,            0.005842,            0.005842
                 128,            0.016691,           0.0066124,           0.0027669,             0.90905,             0.91295,             0.91065,             0.80121,            0.015416,           0.0094681,           0.0049393,            0.005809,            0.005809,            0.005809
                 129,             0.01698,           0.0067353,           0.0028566,             0.91299,             0.91295,             0.91925,             0.81402,            0.015561,           0.0096989,           0.0045544,            0.005776,            0.005776,            0.005776
                 130,            0.016836,           0.0065897,           0.0028608,             0.88695,             0.93676,             0.92791,             0.81313,            0.014927,           0.0096798,            0.003792,            0.005743,            0.005743,            0.005743
                 131,            0.017055,           0.0064278,           0.0027889,             0.89069,             0.93587,             0.93062,              0.8192,            0.014634,           0.0095215,           0.0035698,             0.00571,             0.00571,             0.00571
                 132,            0.017042,           0.0063947,           0.0029096,              0.9062,             0.93676,             0.92254,              0.8135,            0.014621,           0.0096512,           0.0033812,            0.005677,            0.005677,            0.005677
                 133,            0.016679,           0.0065519,           0.0028189,             0.92145,             0.93676,             0.92124,             0.80178,            0.015007,           0.0094585,           0.0048309,            0.005644,            0.005644,            0.005644
                 134,            0.016503,           0.0065599,           0.0026885,             0.89773,             0.91295,             0.92212,             0.80494,            0.014833,            0.010132,           0.0041298,            0.005611,            0.005611,            0.005611
                 135,            0.016618,            0.006489,           0.0026962,             0.89672,             0.91295,             0.92383,             0.80127,            0.015434,            0.010044,           0.0038986,            0.005578,            0.005578,            0.005578
                 136,            0.016741,           0.0065674,           0.0028226,             0.93264,             0.93211,             0.92115,             0.79092,            0.014832,           0.0095062,           0.0041775,            0.005545,            0.005545,            0.005545
                 137,            0.017013,           0.0064813,           0.0028593,             0.87402,             0.96057,             0.92706,             0.79789,            0.014617,           0.0096245,           0.0035702,            0.005512,            0.005512,            0.005512
                 138,            0.016509,           0.0064543,           0.0027783,             0.90846,             0.93676,             0.92983,             0.81598,            0.014661,           0.0094109,           0.0037657,            0.005479,            0.005479,            0.005479
                 139,            0.016775,           0.0065382,           0.0028197,              0.8914,             0.96057,             0.93708,             0.82104,            0.014362,            0.009716,           0.0038887,            0.005446,            0.005446,            0.005446
                 140,            0.016383,           0.0065068,           0.0028458,             0.91511,             0.96057,             0.93796,             0.81921,            0.014415,           0.0096607,           0.0036007,            0.005413,            0.005413,            0.005413
                 141,            0.016857,           0.0067269,           0.0028371,              0.9062,             0.93676,             0.93977,              0.8196,            0.014628,           0.0094433,           0.0043503,             0.00538,             0.00538,             0.00538
                 142,            0.016923,           0.0066581,           0.0028353,             0.89245,             0.96057,             0.93421,             0.81855,            0.014244,           0.0097313,           0.0040485,            0.005347,            0.005347,            0.005347
                 143,            0.016756,           0.0066711,           0.0028902,             0.91791,             0.91295,             0.93338,             0.82446,            0.014494,           0.0095024,           0.0035522,            0.005314,            0.005314,            0.005314
                 144,            0.016472,           0.0065305,           0.0027729,             0.85884,             0.95266,             0.92536,             0.80674,            0.014668,            0.010107,           0.0039806,            0.005281,            0.005281,            0.005281
                 145,            0.016615,           0.0066892,           0.0028257,             0.89155,             0.91295,             0.92816,             0.81508,            0.014717,           0.0096302,           0.0039631,            0.005248,            0.005248,            0.005248
                 146,            0.016476,           0.0065147,           0.0027484,             0.85967,             0.96057,             0.92295,             0.80607,            0.014729,            0.010056,           0.0040695,            0.005215,            0.005215,            0.005215
                 147,            0.016735,           0.0064904,           0.0028841,             0.89348,             0.91295,             0.91779,             0.81071,            0.014579,           0.0096226,           0.0036268,            0.005182,            0.005182,            0.005182
                 148,            0.016224,           0.0065051,           0.0027663,              0.9216,             0.91295,             0.92333,             0.82322,            0.014456,           0.0094109,           0.0032059,            0.005149,            0.005149,            0.005149
                 149,            0.016311,           0.0063314,            0.002761,             0.89118,             0.93436,             0.91601,             0.80073,            0.014647,            0.009201,           0.0034439,            0.005116,            0.005116,            0.005116
                 150,            0.016098,           0.0064356,           0.0026851,             0.90007,             0.93676,             0.92968,             0.81174,            0.014927,           0.0095634,           0.0041864,            0.005083,            0.005083,            0.005083
                 151,            0.016402,           0.0063542,           0.0027798,             0.89332,             0.93676,             0.92328,             0.80649,            0.014602,           0.0093937,           0.0040625,             0.00505,             0.00505,             0.00505
                 152,             0.01634,           0.0064326,           0.0027846,             0.87654,             0.96057,             0.91636,             0.80677,            0.014731,           0.0093651,           0.0046276,            0.005017,            0.005017,            0.005017
                 153,              0.0164,           0.0063682,           0.0027526,             0.90853,             0.93676,             0.91936,             0.79205,            0.014815,           0.0096722,           0.0050503,            0.004984,            0.004984,            0.004984
                 154,            0.016171,           0.0063384,           0.0026935,             0.91513,             0.91295,             0.91961,             0.80492,            0.014708,           0.0097008,           0.0043135,            0.004951,            0.004951,            0.004951
                 155,            0.016093,           0.0063671,            0.002651,             0.85601,             0.93271,             0.90099,             0.78434,            0.014638,           0.0098057,           0.0043283,            0.004918,            0.004918,            0.004918
                 156,            0.016378,           0.0065871,           0.0027614,             0.90668,             0.93676,             0.93635,              0.8235,            0.014495,           0.0093021,            0.003656,            0.004885,            0.004885,            0.004885
                 157,            0.016126,           0.0063235,           0.0027515,             0.89904,             0.96057,             0.93197,             0.80604,            0.014674,           0.0093307,           0.0039438,            0.004852,            0.004852,            0.004852
